tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 15, 0.28, 0, 0, 0.323316, 0.191061, 0.494042
tmfreqs:, 16, 0.3, 0, 0, 0.34641, 0.202349, 0.48852
tmfreqs:, 17, 0.32, 0, 0, 0.369504, 0.213047, 0.483184
tmfreqs:, 18, 0.34, 0, 0, 0.392598, 0.223072, 0.478079
tmfreqs:, 19, 0.36, 0, 0, 0.415692, 0.232333, 0.473261
tmfreqs:, 20, 0.38, 0, 0, 0.438786, 0.240726, 0.468798
tmfreqs:, 21, 0.4, 0, 0, 0.46188, 0.248137, 0.464773
tmfreqs:, 22, 0.42, 0, 0, 0.484974, 0.254443, 0.461279
tmfreqs:, 23, 0.44, 0, 0, 0.508068, 0.25952, 0.458418
tmfreqs:, 24, 0.46, 0, 0, 0.531162, 0.263248, 0.456287
tmfreqs:, 25, 0.48, 0, 0, 0.554256, 0.265529, 0.454969
tmfreqs:, 26, 0.5, 0, 0, 0.57735, 0.266297, 0.454524
